Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
0.97000003,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
0.99989969,0.035683577,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.0297994,0.094582975,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.059699,0.1327601,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.0895987,0.14703353,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.1194984,0.14350817,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.149398,0.1255374,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.1792977,0.096044712,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2091973,0.075150473,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.239097,0.052020636,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2689967,0.03877902,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2988963,0.028460877,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.328796,0.015993121,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.3586957,0.010576096,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.3885953,0.0038693035,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.418495,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.4483947,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.4782943,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.508194,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.5380937,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.5679933,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.597893,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.6277927,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.6576923,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.687592,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.7174917,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.7473913,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.777291,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8071906,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8370903,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.86699,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8968896,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.9267893,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.956689,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.9865886,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.0164883,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.046388,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.0762876,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1061873,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.136087,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1659866,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1958863,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.225786,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.2556856,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.2855853,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.315485,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.3453846,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.3752843,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4051839,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4350836,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4649833,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4948829,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5247826,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5546823,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5845819,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6144816,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6443813,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6742809,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7041806,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7340803,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7639799,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7938796,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8237793,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8536789,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8835786,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9134783,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9433779,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9732776,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
0.97000003,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
0.99989969,0.017859099,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.0297994,0.045688616,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.059699,0.067272926,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.0895987,0.088309412,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.1194984,0.089733757,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.149398,0.088199847,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.1792977,0.093130273,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.2091973,0.086885066,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.239097,0.073846828,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.2689967,0.068916402,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.2988963,0.056754684,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.328796,0.04185384,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.3586957,0.03944341,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.3885953,0.030130382,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.418495,0.026186041,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.4483947,0.018297359,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.4782943,0.014572149,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.508194,0.012709543,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.5380937,0.008217377,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.5679933,0.0076695519,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.597893,0.003944341,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.6277927,0.0036156459,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.6576923,0.0035060809,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.687592,0.0021913005,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.7174917,0.0021913005,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.7473913,0.0014243453,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.777291,0.0013147803,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.8071906,0.0015339104,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.8370903,0.00087652021,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.86699,0.00098608524,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.8968896,0.0014243453,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.9267893,0.00043826011,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.956689,0.00043826011,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
1.9865886,0.00043826011,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.0164883,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.046388,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.0762876,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.1061873,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.136087,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.1659866,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.1958863,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.225786,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.2556856,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.2855853,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.315485,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.3453846,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.3752843,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.4051839,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.4350836,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.4649833,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.4948829,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.5247826,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.5546823,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.5845819,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.6144816,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.6443813,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.6742809,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.7041806,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.7340803,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.7639799,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.7938796,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.8237793,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.8536789,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.8835786,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.9134783,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.9433779,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
2.9732776,0,Al-Al-4kV,1.49,eccentricity,1.2,2.1,CDL
0.97000003,0,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
0.99989969,0.0044835165,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.0297994,0.012395604,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.059699,0.018637363,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.0895987,0.030505495,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.1194984,0.030857143,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.149398,0.036483516,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.1792977,0.037714286,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.2091973,0.042637363,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.239097,0.04632967,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.2689967,0.041406593,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.2988963,0.040351648,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.328796,0.041406593,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.3586957,0.04210989,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.3885953,0.041406593,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.418495,0.039032967,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.4483947,0.039384615,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.4782943,0.03243956,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.508194,0.030857143,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.5380937,0.031296703,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.5679933,0.028043956,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.597893,0.026637363,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.6277927,0.02356044,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.6576923,0.023120879,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.687592,0.022065934,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.7174917,0.017142857,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.7473913,0.016175824,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.777291,0.015824176,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.8071906,0.01389011,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.8370903,0.010901099,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.86699,0.012395604,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.8968896,0.010461538,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.9267893,0.0090549451,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.956689,0.008967033,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
1.9865886,0.0087032967,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.0164883,0.0072087912,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.046388,0.0078241758,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.0762876,0.0069450549,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.1061873,0.0058901099,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.136087,0.005010989,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.1659866,0.0058901099,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.1958863,0.0061538462,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.225786,0.0036923077,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.2556856,0.0043076923,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.2855853,0.0037802198,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.315485,0.0037802198,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.3453846,0.0032527473,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.3752843,0.0025494505,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.4051839,0.0024615385,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.4350836,0.0023736264,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.4649833,0.0023736264,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.4948829,0.0026373626,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.5247826,0.002989011,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.5546823,0.0014945055,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.5845819,0.0021978022,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.6144816,0.0011428571,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.6443813,0.0016703297,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.6742809,0.0012307692,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.7041806,0.00079120879,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.7340803,0.00087912088,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.7639799,0.0014065934,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.7938796,0.0010549451,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.8237793,0.0007032967,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.8536789,0.0012307692,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.8835786,0.0010549451,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.9134783,0.00079120879,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.9433779,0.00096703297,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
2.9732776,0.00079120879,C-EPIC-0.6kV,0.277,eccentricity,0,0.4,CDL
0.97000003,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
0.99989969,0.0064703979,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.0297994,0.015852475,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.059699,0.03170495,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.0895987,0.038606708,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.1194984,0.046155505,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.149398,0.051223984,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.1792977,0.049822064,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.2091973,0.051439664,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.239097,0.053272943,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.2689967,0.056723822,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.2988963,0.049390704,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.328796,0.044861426,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.3586957,0.049606384,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.3885953,0.049714224,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.418495,0.040116467,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.4483947,0.037420468,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.4782943,0.036665588,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.508194,0.032999029,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.5380937,0.028469751,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.5679933,0.029224631,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.597893,0.027391351,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.6277927,0.022754233,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.6576923,0.020597433,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.687592,0.019195514,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.7174917,0.017685754,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.7473913,0.013587836,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.777291,0.014666235,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.8071906,0.011970236,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.8370903,0.011215356,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.86699,0.010999676,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.8968896,0.010783997,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.9267893,0.0083036773,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.956689,0.0077644775,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
1.9865886,0.0033430389,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.0164883,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.046388,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.0762876,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.1061873,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.136087,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.1659866,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.1958863,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.225786,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.2556856,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.2855853,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.315485,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.3453846,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.3752843,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.4051839,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.4350836,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.4649833,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.4948829,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.5247826,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.5546823,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.5845819,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.6144816,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
2.6443813,0,Cu-EPIC-0.9kV,0.525,eccentricity,0.4,0.7,CDL
