Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
0.2,23.006448,3158.0066,0.71339968,MLP@85,22.293049,23.719848,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
0.4,8.6495397,3158.0066,0.43742603,MLP@85,8.2121137,9.0869658,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
0.6,5.331302,3158.0066,0.34341935,MLP@85,4.9878826,5.6747213,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
0.8,2.9200492,3158.0066,0.25415766,MLP@85,2.6658916,3.1742069,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
1,2.3670096,3158.0066,0.22882745,MLP@85,2.1381821,2.595837,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
1.2,1.3494167,3158.0066,0.1727751,MLP@85,1.1766416,1.5221918,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
1.4,1.1282008,3158.0066,0.15797972,MLP@85,0.97022112,1.2861806,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
1.6,0.95122815,3158.0066,0.14506093,MLP@85,0.80616722,1.0962891,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
1.8,0.79637706,3158.0066,0.13272951,MLP@85,0.66364755,0.92910657,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
2,1.0618361,3158.0066,0.15326284,MLP@85,0.90857324,1.2150989,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
2.2,0.8848634,3158.0066,0.13990919,MLP@85,0.74495421,1.0247726,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
2.4,0.77425547,3158.0066,0.13087306,MLP@85,0.64338241,0.90512854,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
2.6,1.1282008,3158.0066,0.15797972,MLP@85,0.97022112,1.2861806,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
2.8,1.2609303,3158.0066,0.1670143,MLP@85,1.093916,1.4279446,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
3,1.7254836,3158.0066,0.19537255,MLP@85,1.5301111,1.9208562,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
3.2,1.703362,3158.0066,0.19411612,MLP@85,1.5092459,1.8974782,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
3.4,1.6369973,3158.0066,0.19029707,MLP@85,1.4467002,1.8272944,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
3.6,1.1060792,3158.0066,0.15642323,MLP@85,0.94965602,1.2625025,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
3.8,0.77425547,3158.0066,0.13087306,MLP@85,0.64338241,0.90512854,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
4,0.33182377,3158.0066,0.08567653,MLP@85,0.24614724,0.41750031,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
4.2,0.39818853,3158.0066,0.093853937,MLP@85,0.30433459,0.49204247,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
4.4,0.19909426,3158.0066,0.066364755,MLP@85,0.13272951,0.26545902,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
4.6,0.17697268,3158.0066,0.062569291,MLP@85,0.11440339,0.23954197,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
4.8,0.53091804,3158.0066,0.10837319,MLP@85,0.42254485,0.63929123,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
5,0.2875806,3158.0066,0.079760509,MLP@85,0.2078201,0.36734111,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
5.2,0.4424317,3158.0066,0.098930736,MLP@85,0.34350096,0.54136244,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
5.4,0.46455328,3158.0066,0.10137384,MLP@85,0.36317945,0.56592712,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
5.6,0.46455328,3158.0066,0.10137384,MLP@85,0.36317945,0.56592712,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
5.8,0.30970219,3158.0066,0.082771392,MLP@85,0.2269308,0.39247358,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
6,0.19909426,3158.0066,0.066364755,MLP@85,0.13272951,0.26545902,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
6.2,0.48667487,3158.0066,0.10375943,MLP@85,0.38291544,0.5904343,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
6.4,0.39818853,3158.0066,0.093853937,MLP@85,0.30433459,0.49204247,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
6.6,0.2875806,3158.0066,0.079760509,MLP@85,0.2078201,0.36734111,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
6.8,0.22121585,3158.0066,0.069954594,MLP@85,0.15126126,0.29117044,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
7,0.77425547,3158.0066,0.13087306,MLP@85,0.64338241,0.90512854,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
7.2,0.57516121,3158.0066,0.11279839,MLP@85,0.46236282,0.6879596,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
7.4,0.57516121,3158.0066,0.11279839,MLP@85,0.46236282,0.6879596,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
7.6,0.53091804,3158.0066,0.10837319,MLP@85,0.42254485,0.63929123,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
7.8,0.7300123,3158.0066,0.12707883,MLP@85,0.60293347,0.85709114,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
8,0.75213389,3158.0066,0.1289899,MLP@85,0.62314399,0.88112379,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
8.2,0.84062023,3158.0066,0.13636661,MLP@85,0.70425362,0.97698684,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
8.4,0.8848634,3158.0066,0.13990919,MLP@85,0.74495421,1.0247726,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
8.6,1.172444,3158.0066,0.16104757,MLP@85,1.0113964,1.3334916,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
8.8,1.3494167,3158.0066,0.1727751,MLP@85,1.1766416,1.5221918,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9,1.3272951,3158.0066,0.17135306,MLP@85,1.155942,1.4986482,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.2,0.86274181,3158.0066,0.13814925,MLP@85,0.72459256,1.0008911,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.4,0.95122815,3158.0066,0.14506093,MLP@85,0.80616722,1.0962891,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.6,0.77425547,3158.0066,0.13087306,MLP@85,0.64338241,0.90512854,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.8,0.68576913,3158.0066,0.12316777,MLP@85,0.56260136,0.80893691,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10,0.39818853,3158.0066,0.093853937,MLP@85,0.30433459,0.49204247,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.2,0.30970219,3158.0066,0.082771392,MLP@85,0.2269308,0.39247358,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.4,0.13272951,3158.0066,0.054186596,MLP@85,0.078542914,0.18691611,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.6,0.17697268,3158.0066,0.062569291,MLP@85,0.11440339,0.23954197,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.8,0.11060792,3158.0066,0.049465368,MLP@85,0.061142557,0.16007329,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11,0.13272951,3158.0066,0.054186596,MLP@85,0.078542914,0.18691611,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.2,0.11060792,3158.0066,0.049465368,MLP@85,0.061142557,0.16007329,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.4,0.08848634,3158.0066,0.04424317,MLP@85,0.04424317,0.13272951,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.6,0.04424317,3158.0066,0.031284646,MLP@85,0.012958524,0.075527815,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.8,0.08848634,3158.0066,0.04424317,MLP@85,0.04424317,0.13272951,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
0.2,32.341757,3158.0066,0.84584333,MLP@90,31.495914,33.187601,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.4,11.989899,3158.0066,0.51501026,MLP@90,11.474889,12.504909,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.6,7.3222446,3158.0066,0.40246696,MLP@90,6.9197777,7.7247116,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.8,3.893399,3158.0066,0.29347599,MLP@90,3.599923,4.1868749,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1,3.0970219,3158.0066,0.26174612,MLP@90,2.8352758,3.358768,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.2,1.7476052,3158.0066,0.19662095,MLP@90,1.5509843,1.9442262,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.4,1.4600246,3158.0066,0.17971661,MLP@90,1.280308,1.6397412,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.6,1.437903,3158.0066,0.17834992,MLP@90,1.2595531,1.6162529,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.8,1.1060792,3158.0066,0.15642323,MLP@90,0.94965602,1.2625025,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2,1.2388088,3158.0066,0.16554278,MLP@90,1.073266,1.4043515,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.2,1.0397145,3158.0066,0.15165795,MLP@90,0.88805655,1.1913724,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.4,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.6,1.1945656,3158.0066,0.16255979,MLP@90,1.0320058,1.3571254,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.8,1.3494167,3158.0066,0.1727751,MLP@90,1.1766416,1.5221918,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3,1.9466995,3158.0066,0.20751886,MLP@90,1.7391806,2.1542183,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.2,1.7918484,3158.0066,0.19909426,MLP@90,1.5927541,1.9909426,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.4,1.7697268,3158.0066,0.19786147,MLP@90,1.5718653,1.9675883,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.6,1.3494167,3158.0066,0.1727751,MLP@90,1.1766416,1.5221918,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.8,0.8848634,3158.0066,0.13990919,MLP@90,0.74495421,1.0247726,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4,0.37606694,3158.0066,0.091209632,MLP@90,0.28485731,0.46727658,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.2,0.48667487,3158.0066,0.10375943,MLP@90,0.38291544,0.5904343,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.4,0.19909426,3158.0066,0.066364755,MLP@90,0.13272951,0.26545902,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.6,0.19909426,3158.0066,0.066364755,MLP@90,0.13272951,0.26545902,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.8,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5,0.30970219,3158.0066,0.082771392,MLP@90,0.2269308,0.39247358,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.2,0.55303962,3158.0066,0.11060792,MLP@90,0.4424317,0.66364755,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.4,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.6,0.53091804,3158.0066,0.10837319,MLP@90,0.42254485,0.63929123,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.8,0.33182377,3158.0066,0.08567653,MLP@90,0.24614724,0.41750031,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6,0.30970219,3158.0066,0.082771392,MLP@90,0.2269308,0.39247358,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.2,0.55303962,3158.0066,0.11060792,MLP@90,0.4424317,0.66364755,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.4,0.4424317,3158.0066,0.098930736,MLP@90,0.34350096,0.54136244,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.6,0.35394536,3158.0066,0.08848634,MLP@90,0.26545902,0.4424317,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.8,0.26545902,3158.0066,0.076631418,MLP@90,0.1888276,0.34209044,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7,0.8848634,3158.0066,0.13990919,MLP@90,0.74495421,1.0247726,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.2,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.4,0.66364755,3158.0066,0.12116491,MLP@90,0.54248264,0.78481246,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.6,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.8,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8,0.75213389,3158.0066,0.1289899,MLP@90,0.62314399,0.88112379,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.2,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.4,0.97334974,3158.0066,0.14673799,MLP@90,0.82661175,1.1200877,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.6,1.2830519,3158.0066,0.16847297,MLP@90,1.114579,1.4515249,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.8,1.4157814,3158.0066,0.17697268,MLP@90,1.2388088,1.5927541,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9,1.4821462,3158.0066,0.18107298,MLP@90,1.3010732,1.6632192,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.2,1.0397145,3158.0066,0.15165795,MLP@90,0.88805655,1.1913724,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.4,1.0618361,3158.0066,0.15326284,MLP@90,0.90857324,1.2150989,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.6,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.8,0.7300123,3158.0066,0.12707883,MLP@90,0.60293347,0.85709114,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10,0.48667487,3158.0066,0.10375943,MLP@90,0.38291544,0.5904343,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.2,0.46455328,3158.0066,0.10137384,MLP@90,0.36317945,0.56592712,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.4,0.24333743,3158.0066,0.073368997,MLP@90,0.16996844,0.31670643,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.6,0.2875806,3158.0066,0.079760509,MLP@90,0.2078201,0.36734111,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.8,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11,0.15485109,3158.0066,0.058528212,MLP@90,0.096322882,0.21337931,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.2,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.4,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.6,0.04424317,3158.0066,0.031284646,MLP@90,0.012958524,0.075527815,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.8,0.08848634,3158.0066,0.04424317,MLP@90,0.04424317,0.13272951,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.2,60.458292,3158.0066,1.1564745,MLP@95,59.301817,61.614766,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.4,19.643967,3158.0066,0.65920839,MLP@95,18.984759,20.303176,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.6,11.658075,3158.0066,0.50783374,MLP@95,11.150242,12.165909,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.8,5.9285848,3158.0066,0.36214595,MLP@95,5.5664388,6.2907307,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1,4.8003839,3158.0066,0.3258713,MLP@95,4.4745126,5.1262552,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.2,2.6324686,3158.0066,0.241318,MLP@95,2.3911506,2.8737866,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.4,2.1679153,3158.0066,0.21899252,MLP@95,1.9489228,2.3869078,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.6,2.1236722,3158.0066,0.21674638,MLP@95,1.9069258,2.3404185,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.8,1.4821462,3158.0066,0.18107298,MLP@95,1.3010732,1.6632192,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2,1.5042678,3158.0066,0.18241926,MLP@95,1.3218485,1.686687,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.2,1.3051735,3158.0066,0.16991912,MLP@95,1.1352544,1.4750926,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.4,0.99547132,3158.0066,0.1483961,MLP@95,0.84707522,1.1438674,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.6,1.3936599,3158.0066,0.17558464,MLP@95,1.2180752,1.5692445,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.8,1.5042678,3158.0066,0.18241926,MLP@95,1.3218485,1.686687,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3,2.2121585,3158.0066,0.22121585,MLP@95,1.9909426,2.4333743,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
