temps,gains,period
21.603,3349.9407,"2017-10-30"
21.610874,3355.6341,"2017-10-30"
21.534911,3353.734,"2017-10-30"
21.488846,3407.9311,"2017-10-30"
21.462811,3374.1318,"2017-10-30"
21.458244,3403.1566,"2017-10-30"
21.476589,3409.0383,"2017-10-30"
21.502278,3431.3342,"2017-10-30"
21.473088,3419.5391,"2017-10-30"
21.495431,3501.84,"2017-10-30"
21.4512,3497.761,"2017-10-30"
21.531649,3505.7347,"2017-10-30"
21.649496,3516.4523,"2017-10-30"
21.621011,3551.2581,"2017-10-30"
21.704348,3485.8774,"2017-10-30"
21.191182,3469.779,"2017-10-30"
21.089433,3471.8616,"2017-10-30"
20.910165,3442.4252,"2017-10-30"
20.970758,3459.9949,"2017-10-30"
21.202522,3506.9456,"2017-10-30"
21.433626,3456.5503,"2017-10-30"
21.462935,3490.8425,"2017-10-30"
21.883133,3446.3059,"2017-10-30"
22.0705,3507.7337,"2017-10-30"
22.253416,3481.194,"2017-10-30"
22.485,3409.0668,"2017-10-30"
22.665278,3360.2135,"2017-10-30"
22.532911,3341.8246,"2017-10-30"
22.157633,3362.6631,"2017-10-30"
21.171022,3362.8135,"2017-10-30"
21.101733,3360.9829,"2017-10-30"
21.131308,3341.4521,"2017-10-30"
21.187367,3384.6052,"2017-10-30"
21.198734,3326.5344,"2017-10-30"
21.261922,3387.612,"2017-10-30"
21.292604,3406.5624,"2017-10-30"
21.4493,3413.6496,"2017-10-30"
21.553222,3430.7451,"2017-10-30"
22.100089,3398.3443,"2017-10-30"
23.000275,3391.7635,"2017-10-30"
22.893643,3453.3868,"2017-10-30"
22.584242,3379.6137,"2017-10-30"
22.402322,3405.3617,"2017-10-30"
22.142522,3349.6534,"2017-10-30"
21.990549,3375.6753,"2017-10-30"
21.845044,3324.5437,"2017-10-30"
21.230656,3304.5556,"2017-10-30"
21.004144,3278.2049,"2017-10-30"
21.035956,3259.6727,"2017-10-30"
21.059708,3285.2131,"2017-10-30"
21.113626,3315.4884,"2017-10-30"
21.205356,3243.848,"2017-10-30"
21.338733,3269.839,"2017-10-30"
21.310567,3274.7014,"2017-10-30"
21.454747,3236.0475,"2017-10-30"
21.849489,3267.5014,"2017-10-30"
22.142689,3291.1646,"2017-10-30"
22.304633,3254.6022,"2017-10-30"
22.291011,3294.9445,"2017-10-30"
22.147804,3336.3519,"2017-10-30"
21.986209,3251.9188,"2017-10-30"
21.888933,3236.758,"2017-10-30"
21.682888,3294.0264,"2017-10-30"
21.153867,3289.9121,"2017-10-30"
21.072889,3283.9277,"2017-10-30"
21.060011,3238.2828,"2017-10-30"
21.130912,3268.563,"2017-10-30"
21.327033,3258.8469,"2017-10-30"
21.413692,3264.4161,"2017-10-30"
21.231167,3232.8935,"2017-10-30"
21.320089,3207.886,"2017-10-30"
21.662578,3235.011,"2017-10-30"
21.943958,3265.3238,"2017-10-30"
21.894389,3199.642,"2017-10-30"
21.869813,3222.5024,"2017-10-30"
21.930922,3181.3868,"2017-10-30"
21.9168,3196.8099,"2017-10-30"
21.842229,3143.8642,"2017-10-30"
21.705589,3173.7665,"2017-10-30"
21.108884,3176.7296,"2017-10-30"
21.071311,3169.2632,"2017-10-30"
21.086644,3138.8477,"2017-10-30"
21.17413,3127.7013,"2017-10-30"
21.411889,3128.0166,"2017-10-30"
21.362956,3129.241,"2017-10-30"
21.002656,3153.8389,"2017-10-30"
21.102433,3134.7673,"2017-10-30"
21.132756,3162.6548,"2017-10-30"
21.158637,3177.7917,"2017-10-30"
21.097656,3186.2416,"2017-10-30"
21.072725,3182.2308,"2017-10-30"
21.105589,3244.114,"2017-10-30"
21.119311,3221.4106,"2017-10-30"
21.079186,3282.2944,"2017-10-30"
21.110511,3235.0669,"2017-10-30"
21.123522,3228.8468,"2017-10-30"
21.041692,3231.2873,"2017-10-30"
21.013656,3292.0506,"2017-10-30"
21.050467,3306.2891,"2017-10-30"
21.207914,3293.1243,"2017-10-30"
21.347088,3280.7818,"2017-10-30"
21.256433,3319.5207,"2017-10-30"
21.159967,3360.8153,"2017-10-30"
21.094819,3299.2697,"2017-10-30"
21.1114,3346.4628,"2017-10-30"
21.127133,3338.3331,"2017-10-30"
21.129176,3332.1107,"2017-10-30"
21.165297,3361.1772,"2017-10-30"
21.178538,3340.6921,"2017-10-30"
21.181557,3345.8639,"2017-10-30"
21.168692,3375.3494,"2017-10-30"
21.164322,3380.2969,"2017-10-30"
21.153222,3357.4742,"2017-10-30"
21.133244,3337.647,"2017-10-30"
21.1332,3328.6719,"2017-10-30"
21.157767,3318.0285,"2017-10-30"
21.305856,3308.3773,"2017-10-30"
21.078791,3342.2766,"2017-10-30"
21.012256,3324.404,"2017-10-30"
20.934379,3361.418,"2017-10-30"
21.305462,3371.6165,"2017-10-30"
21.488989,3330.874,"2017-10-30"
21.354231,3314.8011,"2017-10-30"
21.1972,3313.0861,"2017-10-30"
21.042778,3356.8041,"2017-10-30"
20.900908,3324.9284,"2017-10-30"
20.818922,3327.3057,"2017-10-30"
21.102078,3316.2894,"2017-10-30"
21.322609,3382.6296,"2017-10-30"
21.362725,3309.215,"2017-10-30"
21.451556,3312.3033,"2017-10-30"
21.355044,3301.397,"2017-10-30"
21.205444,3265.6938,"2017-10-30"
21.034154,3304.8168,"2017-10-30"
21.057978,3305.4069,"2017-10-30"
21.039857,3303.74,"2017-10-30"
21.106668,3289.3416,"2017-10-30"
20.968433,3315.8622,"2017-10-30"
20.9754,3279.3834,"2017-10-30"
20.949133,3318.2132,"2017-10-30"
20.947725,3333.2927,"2017-10-30"
20.9459,3293.3904,"2017-10-30"
20.950933,3328.8931,"2017-10-30"
20.949467,3301.988,"2017-10-30"
20.955374,3286.2698,"2017-10-30"
21.037022,3312.6669,"2017-10-30"
21.112022,3323.455,"2017-10-30"
21.19567,3293.8845,"2017-10-30"
21.024389,3307.9528,"2017-10-30"
20.979678,3300.0085,"2017-10-30"
20.999107,3332.4849,"2017-10-30"
21.139598,3311.9171,"2017-10-30"
21.088967,3328.9998,"2017-10-30"
21.054338,3361.0429,"2017-10-30"
21.053544,3300.8286,"2017-10-30"
21.064184,3358.146,"2017-10-30"
21.074856,3309.7568,"2017-10-30"
21.069242,3307.3759,"2017-10-30"
21.083044,3340.38,"2017-10-30"
21.107933,3303.2389,"2017-10-30"
21.107178,3337.2609,"2017-10-30"
21.136967,3354.4022,"2017-10-30"
21.225363,3326.0141,"2017-10-30"
21.283911,3343.9173,"2017-10-30"
21.224567,3334.6579,"2017-10-30"
21.054253,3347.0183,"2017-10-30"
21.013489,3326.581,"2017-10-30"
21.077667,3351.7944,"2017-10-30"
21.057218,3289.7923,"2017-10-30"
21.195016,3328.5612,"2017-10-30"
21.1512,3315.9834,"2017-10-30"
21.081867,3335.4915,"2017-10-30"
21.068444,3359.1964,"2017-10-30"
21.021067,3367.8632,"2017-10-30"
21.054906,3321.5718,"2017-10-30"
21.067967,3297.7556,"2017-10-30"
21.035659,3284.5784,"2017-10-30"
21.057733,3322.9867,"2017-10-30"
21.1113,3286.1997,"2017-10-30"
21.181167,3261.7071,"2017-10-30"
21.285419,3284.5668,"2017-10-30"
21.060533,3297.4255,"2017-10-30"
20.974411,3270.2292,"2017-10-30"
20.941187,3303.1141,"2017-10-30"
20.911033,3326.208,"2017-10-30"
20.805289,3269.0857,"2017-10-30"
20.791467,3238.0202,"2017-10-30"
20.763132,3246.9392,"2017-10-30"
20.783878,3246.5626,"2017-10-30"
20.844844,3268.0585,"2017-10-30"
20.842511,3247.9586,"2017-10-30"
20.912111,3252.5313,"2017-10-30"
20.87856,3242.1169,"2017-10-30"
20.898979,3197.2638,"2017-10-30"
21.118567,3242.1941,"2017-10-30"
21.30011,3196.2892,"2017-10-30"
21.220076,3188.0858,"2017-10-30"
21.062331,3175.5675,"2017-10-30"
21.031786,3168.8726,"2017-10-30"
20.980722,3208.8528,"2017-10-30"
20.918615,3192.0919,"2017-10-30"
21.138768,3235.1054,"2017-10-30"
21.266867,3268.2869,"2017-10-30"
21.176689,3280.745,"2017-10-30"
21.047626,3289.729,"2017-10-30"
20.944978,3256.2657,"2017-10-30"
20.9409,3294.4092,"2017-10-30"
20.994844,3280.4955,"2017-10-30"
21.028928,3283.3468,"2017-10-30"
21.146322,3284.1848,"2017-10-30"
21.163346,3300.5966,"2017-10-30"
21.142703,3314.3223,"2017-10-30"
21.193044,3341.2721,"2017-10-30"
21.286609,3316.8685,"2017-10-30"
21.3131,3307.3001,"2017-10-30"
21.3112,3307.2554,"2017-10-30"
21.292473,3356.8674,"2017-10-30"
21.286378,3306.072,"2017-10-30"
21.313824,3319.3299,"2017-10-30"
21.260656,3315.6515,"2017-10-30"
21.139844,3350.013,"2017-10-30"
21.0729,3354.9869,"2017-10-30"
21.102791,3338.0541,"2017-10-30"
21.048111,3321.904,"2017-10-30"
21.033944,3332.0799,"2017-10-30"
21.165278,3326.7361,"2017-10-30"
21.148111,3348.6534,"2017-10-30"
21.094477,3312.7774,"2017-10-30"
21.079064,3373.4032,"2017-10-30"
21.1835,3339.563,"2017-10-30"
21.165648,3332.8912,"2017-10-30"
21.201267,3334.3454,"2017-10-30"
21.147033,3316.4789,"2017-10-30"
21.110769,3364.7207,"2017-10-30"
21.150144,3394.8756,"2017-10-30"
21.1381,3408.5357,"2017-10-30"
21.066233,3401.8218,"2017-10-30"
21.039154,3417.5137,"2017-10-30"
21.044356,3403.0673,"2017-10-30"
21.078422,3374.8709,"2017-10-30"
21.077518,3426.9793,"2017-10-30"
21.096256,3407.3963,"2017-10-30"
20.953243,3493.8366,"2017-10-30"
21.084078,3405.1652,"2017-10-30"
21.200493,3388.6645,"2017-10-30"
21.182978,3420.535,"2017-10-30"
21.189667,3399.1063,"2017-10-30"
21.188154,3428.4956,"2017-10-30"
21.181289,3437.5194,"2017-10-30"
21.212429,3418.4144,"2017-10-30"
21.226722,3447.2615,"2017-10-30"
21.229778,3407.1354,"2017-10-30"
21.209756,3393.9483,"2017-10-30"
21.133311,3413.5301,"2017-10-30"
21.112856,3388.7125,"2017-10-30"
21.002772,3418.1112,"2017-10-30"
20.982331,3394.2674,"2017-10-30"
20.955178,3424.2711,"2017-10-30"
20.913956,3409.447,"2017-10-30"
20.879078,3399.1166,"2017-10-30"
20.886703,3414.8126,"2017-10-30"
20.882538,3428.7781,"2017-10-30"
20.9168,3379.5636,"2017-10-30"
21.009556,3420.7011,"2017-10-30"
21.116156,3451.7291,"2017-10-30"
21.111022,3403.3638,"2017-10-30"
21.111505,3378.5971,"2017-10-30"
21.170378,3432.8975,"2017-10-30"
21.053505,3407.9839,"2017-10-30"
21.083178,3379.3612,"2017-10-30"
21.045064,3379.8661,"2017-10-30"
21.025067,3395.3775,"2017-10-30"
21.012462,3380.3882,"2017-10-30"
20.9411,3401.4406,"2017-10-30"
20.943405,3362.9555,"2017-10-30"
20.980527,3410.072,"2017-10-30"
20.959089,3405.3317,"2017-10-30"
20.967756,3391.5281,"2017-10-30"
20.997,3380.2644,"2017-10-30"
20.9783,3354.1445,"2017-10-30"
20.984531,3362.4063,"2017-10-30"
20.979736,3389.4889,"2017-10-30"
21.072256,3358.7997,"2017-10-30"
21.0408,3357.8882,"2017-10-30"
20.968344,3326.6312,"2017-10-30"
20.874495,3360.4955,"2017-10-30"
20.927929,3370.1302,"2017-10-30"
20.947536,3413.0579,"2017-10-30"
20.925467,3342.7562,"2017-10-30"
20.938411,3351.5242,"2017-10-30"
20.943367,3376.8229,"2017-10-30"
21.000242,3362.1535,"2017-10-30"
21.0662,3364.8128,"2017-10-30"
21.197444,3402.5138,"2017-10-30"
21.258682,3367.5668,"2017-10-30"
21.264444,3417.5183,"2017-10-30"
21.276133,3387.0957,"2017-10-30"
21.2847,3401.6415,"2017-10-30"
21.205176,3370.238,"2017-10-30"
20.929511,3405.0019,"2017-10-30"
21.0716,3379.4651,"2017-10-30"
21.040411,3406.4012,"2017-10-30"
21.052121,3390.624,"2017-10-30"
21.075533,3391.7473,"2017-10-30"
21.043656,3394.3339,"2017-10-30"
21.022389,3437.3602,"2017-10-30"
21.100615,3368.8161,"2017-10-30"
21.231144,3380.0133,"2017-10-30"
21.214622,3351.5734,"2017-10-30"
21.251833,3407.6343,"2017-10-30"
21.2201,3368.6015,"2017-10-30"
21.166758,3353.3726,"2017-10-30"
21.122156,3376.6183,"2017-10-30"
21.0704,3376.2901,"2017-10-30"
21.055044,3400.8097,"2017-10-30"
21.071934,3394.8694,"2017-10-30"
21.252113,3401.4536,"2017-10-30"
21.246453,3378.4568,"2017-10-30"
21.397111,3353.2928,"2017-10-30"
21.355878,3381.2073,"2017-10-30"
21.301403,3371.6096,"2017-10-30"
21.141667,3362.2785,"2017-10-30"
21.009462,3380.8772,"2017-10-30"
21.0677,3343.2815,"2017-10-30"
21.085971,3346.0643,"2017-10-30"
21.13073,3355.5603,"2017-10-30"
21.195144,3391.6239,"2017-10-30"
21.135678,3369.3579,"2017-10-30"
21.098538,3402.7685,"2017-10-30"
21.073756,3384.2606,"2017-10-30"
21.037833,3423.8323,"2017-10-30"
21.041444,3402.0005,"2017-10-30"
21.212689,3361.4277,"2017-10-30"
21.195615,3354.0034,"2017-10-30"
21.222424,3356.4496,"2017-10-30"
21.413711,3319.3474,"2017-10-30"
21.625758,3358.1506,"2017-10-30"
21.204822,3348.1683,"2017-10-30"
20.870767,3382.4546,"2017-10-30"
20.924308,3355.3276,"2017-10-30"
21.010378,3333.6231,"2017-10-30"
21.193016,3317.9967,"2017-10-30"
21.2213,3303.4294,"2017-10-30"
21.208822,3338.5426,"2017-10-30"
21.187389,3361.7843,"2017-10-30"
21.168267,3321.9836,"2017-10-30"
21.163956,3336.4204,"2017-10-30"
21.173944,3311.0882,"2017-10-30"
21.304689,3308.4262,"2017-10-30"
21.144758,3323.1077,"2017-10-30"
21.182367,3319.6962,"2017-10-30"
21.503478,3293.5321,"2017-10-30"
21.649856,3354.1938,"2017-10-30"
21.565769,3346.6245,"2017-10-30"
21.0702,3293.3153,"2017-10-30"
20.964367,3329.5749,"2017-10-30"
20.918055,3317.2738,"2017-10-30"
20.870633,3311.0019,"2017-10-30"
20.9681,3318.2963,"2017-10-30"
20.919868,3268.756,"2017-10-30"
20.934144,3289.7434,"2017-10-30"
20.919733,3277.1671,"2017-10-30"
20.938356,3302.9863,"2017-10-30"
21.623938,3302.7777,"2017-10-30"
22.113911,3317.731,"2017-10-30"
21.743267,3345.2112,"2017-10-30"
21.400289,3361.1791,"2017-10-30"
21.065967,3361.3794,"2017-10-30"
21.188289,3354.3923,"2017-10-30"
21.106756,3340.1867,"2017-10-30"
21.022411,3385.2386,"2017-10-30"
20.945348,3325.9014,"2017-10-30"
20.857451,3311.1985,"2017-10-30"
20.797744,3337.248,"2017-10-30"
20.886111,3349.1582,"2017-10-30"
21.094633,3338.938,"2017-10-30"
21.661544,3326.4789,"2017-10-30"
22.037444,3303.6572,"2017-10-30"
22.121302,3333.8338,"2017-10-30"
21.963556,3359.0293,"2017-10-30"
21.802311,3329.9831,"2017-10-30"
21.672189,3308.7063,"2017-10-30"
21.342242,3303.1687,"2017-10-30"
21.144378,3331.3791,"2017-10-30"
21.145451,3317.4347,"2017-10-30"
21.1507,3308.1191,"2017-10-30"
21.068822,3303.7391,"2017-10-30"
21.016633,3284.1557,"2017-10-30"
21.018934,3301.5595,"2017-10-30"
21.107427,3331.1318,"2017-10-30"
21.159511,3301.0487,"2017-10-30"
21.179467,3287.0229,"2017-10-30"
21.131821,3320.1536,"2017-10-30"
21.12435,3301.3684,"2017-10-30"
21.116253,3332.3051,"2017-10-30"
21.119791,3297.9469,"2017-10-30"
21.110721,3326.8962,"2017-10-30"
21.117044,3367.7578,"2017-10-30"
21.089989,3367.4871,"2017-10-30"
21.032756,3363.6004,"2017-10-30"
20.976908,3423.3819,"2017-10-30"
20.940844,3410.7656,"2017-10-30"
20.895133,3393.6556,"2017-10-30"
20.954022,3386.7442,"2017-10-30"
20.997522,3386.1582,"2017-10-30"
21.080011,3432.8489,"2017-10-30"
21.07767,3389.4746,"2017-10-30"
21.044822,3427.8307,"2017-10-30"
20.962411,3413.2058,"2017-10-30"
21.194611,3441.7905,"2017-10-30"
21.302257,3405.1735,"2017-10-30"
21.207692,3439.4359,"2017-10-30"
21.051722,3411.8451,"2017-10-30"
20.830258,3430.8848,"2017-10-30"
20.404396,3423.8121,"2017-10-30"
20.084071,3425.6002,"2017-10-30"
20.040167,3455.8841,"2017-10-30"
19.967878,3424.7262,"2017-10-30"
19.804622,3429.5794,"2017-10-30"
19.818379,3394.0483,"2017-10-30"
19.771893,3404.9794,"2017-10-30"
19.838711,3458.2664,"2017-10-30"
19.887317,3392.5159,"2017-10-30"
19.769389,3436.6549,"2017-10-30"
19.597344,3441.8402,"2017-10-30"
19.555768,3400.3492,"2017-10-30"
19.570022,3423.1669,"2017-10-30"
19.673495,3453.2852,"2017-10-30"
19.616633,3392.1629,"2017-10-30"
19.633648,3413.12,"2017-10-30"
19.618589,3409.3958,"2017-10-30"
19.608656,3402.4806,"2017-10-30"
19.5609,3396.0248,"2017-10-30"
19.560077,3399.4226,"2017-10-30"
19.551544,3413.3168,"2017-10-30"
19.468246,3401.3903,"2017-10-30"
19.504122,3372.5994,"2017-10-30"
19.592604,3375.6963,"2017-10-30"
19.676556,3403.0022,"2017-10-30"
19.59808,3392.2299,"2017-10-30"
19.392789,3380.7881,"2017-10-30"
19.309868,3402.0161,"2017-10-30"
19.364767,3379.8721,"2017-10-30"
19.416522,3381.816,"2017-10-30"
19.340011,3359.5753,"2017-10-30"
19.352867,3351.2171,"2017-10-30"
19.42895,3403.5814,"2017-10-30"
19.458671,3343.3027,"2017-10-30"
19.507571,3387.806,"2017-10-30"
19.549846,3372.8777,"2017-10-30"
19.506833,3315.7331,"2017-10-30"
19.50435,3373.9177,"2017-10-30"
19.444044,3342.855,"2017-10-30"
19.612879,3334.9097,"2017-10-30"
19.671278,3331.5097,"2017-10-30"
19.494297,3366.6956,"2017-10-30"
19.741943,3373.1704,"2017-10-30"
19.528849,3391.5276,"2017-10-30"
19.689111,3350.1557,"2017-10-30"
19.76589,3348.73,"2017-10-30"
19.715502,3334.668,"2017-10-30"
19.697889,3388.9264,"2017-10-30"
19.676778,3396.6166,"2017-10-30"
19.691099,3363.6142,"2017-10-30"
19.709167,3372.8761,"2017-10-30"
19.709451,3470.6458,"2017-10-30"
19.691144,3362.9773,"2017-10-30"
19.740333,3353.6551,"2017-10-30"
19.863088,3424.6326,"2017-10-30"
19.800667,3363.4927,"2017-10-30"
19.637756,3403.4803,"2017-10-30"
19.610363,3414.3197,"2017-10-30"
19.567567,3369.4647,"2017-10-30"
19.555233,3407.889,"2017-10-30"
19.575179,3353.0722,"2017-10-30"
19.655385,3356.3659,"2017-10-30"
19.723289,3398.6785,"2017-10-30"
19.742344,3387.3497,"2017-10-30"
19.784689,3373.903,"2017-10-30"
19.69911,3334.5074,"2017-10-30"
19.7646,3397.9816,"2017-10-30"
19.767844,3418.7058,"2017-10-30"
19.740977,3416.249,"2017-10-30"
19.744522,3350.6619,"2017-10-30"
19.828343,3356.2719,"2017-10-30"
19.868478,3320.498,"2017-10-30"
19.701333,3365.5049,"2017-10-30"
19.617756,3360.7452,"2017-10-30"
19.596044,3344.3178,"2017-10-30"
19.604233,3345.3154,"2017-10-30"
19.56556,3331.2227,"2017-10-30"
19.566267,3344.4525,"2017-10-30"
19.584914,3294.168,"2017-10-30"
19.590033,3327.0811,"2017-10-30"
19.63164,3344.4765,"2017-10-30"
19.690711,3348.8816,"2017-10-30"
19.727344,3371.1359,"2017-10-30"
19.723176,3358.9588,"2017-10-30"
19.734471,3371.6401,"2017-10-30"
19.781582,3346.3442,"2017-10-30"
19.788367,3360.8173,"2017-10-30"
19.839567,3330.8246,"2017-10-30"
19.703011,3335.9717,"2017-10-30"
19.614593,3369.932,"2017-10-30"
19.619122,3366.2655,"2017-10-30"
19.654637,3353.5648,"2017-10-30"
19.774833,3360.1477,"2017-10-30"
19.769457,3348.7746,"2017-10-30"
19.708989,3373.3724,"2017-10-30"
19.685289,3392.6158,"2017-10-30"
19.634538,3380.6668,"2017-10-30"
19.601211,3397.561,"2017-10-30"
19.584121,3426.7371,"2017-10-30"
19.549967,3412.4811,"2017-10-30"
19.523182,3383.0265,"2017-10-30"
19.509222,3388.5804,"2017-10-30"
19.563353,3396.0137,"2017-10-30"
19.593209,3391.778,"2017-10-30"
19.452522,3436.8527,"2017-10-30"
19.498843,3396.2087,"2017-10-30"
19.533711,3415.1632,"2017-10-30"
19.584725,3460.2544,"2017-10-30"
19.588544,3405.4421,"2017-10-30"
19.574078,3426.1585,"2017-10-30"
19.548133,3409.7162,"2017-10-30"
19.540607,3400.723,"2017-10-30"
19.543971,3420.0956,"2017-10-30"
19.540945,3393.3858,"2017-10-30"
19.536889,3438.4381,"2017-10-30"
19.497615,3402.4389,"2017-10-30"
19.40397,3395.8156,"2017-10-30"
19.275446,3403.8079,"2017-10-30"
19.214275,3468.3923,"2017-10-30"
19.119722,3396.8195,"2017-10-30"
18.801593,3356.6766,"2017-10-30"
18.846211,3355.3349,"2017-10-30"
18.798456,3394.0443,"2017-10-30"
18.750244,3378.5455,"2017-10-30"
18.606912,3380.3681,"2017-10-30"
18.477167,3375.4306,"2017-10-30"
18.338791,3387.1103,"2017-10-30"
18.123867,3364.8692,"2017-10-30"
17.977,3360.0148,"2017-10-30"
17.989978,3381.7261,"2017-10-30"
18.061693,3366.8796,"2017-10-30"
18.191011,3392.5038,"2017-10-30"
18.360824,3428.5558,"2017-10-30"
18.329539,3398.9191,"2017-10-30"
18.364378,3377.2232,"2017-10-30"
18.372918,3287.3918,"2017-10-30"
18.409633,3268.0932,"2017-10-30"
18.392789,3306.7312,"2017-10-30"
18.354956,3322.9732,"2017-10-30"
18.336576,3284.4596,"2017-10-30"
18.298637,3272.0151,"2017-10-30"
18.368211,3293.0857,"2017-10-30"
18.376111,3335.7951,"2017-10-30"
18.331333,3335.7341,"2017-10-30"
18.331319,3302.0107,"2017-10-30"
18.305822,3274.9816,"2017-10-30"
18.295878,3271.2954,"2017-10-30"
18.328378,3253.5917,"2017-10-30"
18.362868,3265.1086,"2017-10-30"
18.187378,3271.5874,"2017-10-30"
18.241678,3275.4059,"2017-10-30"
18.363944,3300.2063,"2017-10-30"
18.541289,3310.4065,"2017-10-30"
18.635486,3304.3994,"2017-10-30"
18.527633,3303.1811,"2017-10-30"
18.183675,3380.3722,"2017-10-30"
17.998936,3297.5961,"2017-10-30"
18.346971,3274.9595,"2017-10-30"
18.320527,3326.8785,"2017-10-30"
18.317489,3276.0152,"2017-10-30"
18.266878,3311.9225,"2017-10-30"
18.282956,3306.7042,"2017-10-30"
18.223467,3252.467,"2017-10-30"
18.243033,3310.3285,"2017-10-30"
18.294544,3254.0059,"2017-10-30"
18.366309,3275.2503,"2017-10-30"
18.652107,3256.1498,"2017-10-30"
19.687111,3243.3181,"2017-10-30"
19.713078,3220.5675,"2017-10-30"
19.825856,3278.6809,"2017-10-30"
20.263489,3265.536,"2017-10-30"
20.266495,3241.8186,"2017-10-30"
20.231233,3268.0031,"2017-10-30"
20.186078,3251.8102,"2017-10-30"
20.170189,3352.5396,"2017-10-30"
20.130411,3345.3732,"2017-10-30"
20.123626,3318.3949,"2017-10-30"
20.086811,3329.5328,"2017-10-30"
20.083857,3302.4239,"2017-10-30"
20.18959,3320.393,"2017-10-30"
20.259331,3361.5375,"2017-10-30"
20.170311,3316.2951,"2017-10-30"
20.144789,3327.9407,"2017-10-30"
20.170576,3348.8407,"2017-10-30"
20.206967,3341.1604,"2017-10-30"
20.154311,3349.5821,"2017-10-30"
20.118011,3358.7735,"2017-10-30"
20.079233,3372.5965,"2017-10-30"
20.029411,3361.1449,"2017-10-30"
20.015311,3330.5872,"2017-10-30"
20.053644,3284.8182,"2017-10-30"
20.106835,3268.6787,"2017-10-30"
20.119044,3293.1697,"2017-10-30"
20.158352,3268.8899,"2017-10-30"
20.17967,3325.8174,"2017-10-30"
20.209989,3300.8964,"2017-10-30"
20.314922,3312.3487,"2017-10-30"
20.381878,3339.3299,"2017-10-30"
