(Î¼/T) / max,Timestamp
0.5727625,1510158454
0.58631832,1510497008
0.62593409,1510946327
0.57861181,1511433739
0.61496959,1511986747
0.66751608,1512394785
0.69790108,1512472837
0.59412568,1513112343
0.59828504,1513200609
0.60052537,1513271099
0.57244825,1513365765
0.62659588,1513700476
0.69021367,1513901906
0.71209129,1518887907
0.70849311,1518977578
0.74282745,1519061104
0.74022586,1519148197
0.75154632,1519236340
0.75878599,1519320232
0.76082606,1519407703
0.74603585,1519634795
0.7309965,1519899973
0.71159253,1520194622
0.69194824,1520363743
0.69795342,1520447358
0.6744379,1520960116
0.67770629,1521061311
0.67807787,1521136765
0.67543181,1521217720
0.66717311,1521320156
0.71128135,1521740517
0.68697278,1521915039
0.68838286,1522093637
0.66155355,1522419537
0.66135981,1523462649
1.9888555,1510158454
1.9396305,1510497008
2.2312626,1510946327
2.0176759,1511433739
2.1685884,1511986747
2.3773878,1512394785
2.4820029,1512472837
2.0507775,1513112343
2.0909409,1513200609
2.050719,1513271099
1.9323026,1513365765
2.1937488,1513700476
2.4103507,1513901906
2.5738378,1518887907
2.5754956,1518977578
2.7643026,1519061104
2.762502,1519148197
2.8347208,1519236340
2.8694932,1519320232
2.8835699,1519407703
2.8005777,1519634795
2.7497212,1519899973
2.6220221,1520194622
2.4903225,1520363743
2.5196111,1520447358
2.4263207,1520960116
2.4592205,1521061311
2.4477019,1521136765
2.4039479,1521217720
2.3563728,1521320156
2.6207978,1521740517
2.5105619,1521915039
2.4854295,1522093637
2.3591509,1522419537
2.3923685,1523462649
0.00084976474,1510158454
0.00085895972,1510497008
0.00096434458,1510946327
0.00090279286,1511433739
0.00066137905,1511986747
0.00072454634,1512394785
0.00075360394,1512472837
0.00061013591,1513112343
0.00063170383,1513200609
0.0006259277,1513271099
0.00042311146,1513365765
0.00046854724,1513700476
0.00051334248,1513901906
0.0004588666,1518887907
0.00046346564,1518977578
0.00049992507,1519061104
0.00050370023,1519148197
0.00051231321,1519236340
0.00051763859,1519320232
0.00051901584,1519407703
0.00050932138,1519634795
0.00050303602,1519899973
0.00047965027,1520194622
0.00046390284,1520363743
0.00046835913,1520447358
0.00045601061,1520960116
0.00046525726,1521061311
0.00046446941,1521136765
0.00045448499,1521217720
0.00045451211,1521320156
0.0005035906,1521740517
0.00049177114,1521915039
0.00048295544,1522093637
0.00045450393,1522419537
0.00045917349,1523462649
