run,ÏƒT,loss,isBackground
76,642.4737,1.4763665,true
77,644.50497,1.5089759,true
78,623.09219,1.1386079,true
79,625.19167,1.31113,true
80,621.08866,1.4032055,true
81,640.38701,0.82109084,true
82,638.33507,1.2851988,true
83,633.97367,0.28433461,false
84,642.87201,1.2382095,true
85,624.69828,0.28027757,true
86,634.36122,0.42575723,true
87,634.15301,1.1275213,true
88,623.78162,0.50324417,false
89,624.37335,1.5346999,true
90,643.14344,0.92773355,true
91,651.42069,0.94245235,true
92,648.51333,1.1694248,true
93,647.94694,0.28044341,false
94,650.8747,0.87297942,true
95,649.62709,1.1827453,true
96,646.02339,0.39957884,false
97,643.42782,1.0491205,true
98,646.93905,0.86683923,true
99,654.05816,0.90381966,true
100,644.26972,0.58315711,true
101,642.63077,0.90491794,true
102,642.93641,0.096961581,false
103,651.05917,0.73683612,true
104,649.70208,1.1811307,true
105,648.4716,0.825665,true
106,656.61995,1.1367832,true
107,632.05404,0.95846152,true
108,648.36564,0.31546939,false
109,645.5124,0.68598538,true
110,646.90403,0.19225929,false
111,627.80824,1.0170169,true
112,647.23797,1.4696618,true
113,642.7222,0.86110425,true
114,632.4613,0.26311282,true
115,631.63487,0.58879841,true
116,640.55341,0.28684112,false
117,643.31539,0.65707346,true
118,641.47581,0.29855825,false
119,636.66662,0.62311188,true
120,638.60275,0.43454176,false
121,640.55873,1.1387427,true
122,633.86829,0.47773161,false
123,635.60126,0.46435278,true
124,648.69296,1.1305001,true
125,640.5149,0.80706356,true
126,643.89862,0.32875082,false
127,648.64166,1.271268,true
128,644.82296,0.62438511,false
145,629.97673,0.40017012,false
146,637.11429,0.79554524,true
147,630.8108,0.33826918,false
148,639.38454,0.58763117,true
149,637.98425,0.28171268,false
150,642.84835,0.7395975,true
151,643.32282,0.10220889,false
152,644.30531,0.69120825,true
153,646.87074,0.15949876,false
154,652.29786,1.2218575,true
155,649.09711,0.5970676,false
156,641.91264,1.0668838,true
157,649.69999,0.41579934,false
158,652.07549,1.1758392,true
159,648.28033,0.63600693,false
160,653.94673,1.1525797,true
161,650.92635,0.39445991,false
162,648.76006,1.247297,true
163,644.88793,0.18424954,false
164,643.18968,1.0260996,true
165,641.50758,0.40532351,false
166,636.26693,0.5276288,true
167,637.4516,0.085357443,false
168,636.90608,2.7997332,true
169,639.65278,0.40725699,false
170,638.54662,0.59366794,true
171,636.44888,0.3322277,false
172,639.49604,0.63372906,true
173,641.87726,0.3715714,false
174,640.30226,0.70995406,true
175,639.54545,0.4456126,false
176,641.80254,0.81294071,true
177,638.24475,0.32065408,false
178,650.1552,1.7304715,true
179,652.02203,0.42832662,false
180,659.29623,1.2661907,true
181,649.10614,0.50960714,false
182,660.35605,1.8067052,true
183,649.78863,0.81944972,false
184,643.56837,1.579802,true
185,640.38824,0.37515952,false
186,638.33828,3.3016425,true
187,642.63765,0.30271779,false
188,645.79752,1.5574433,true
239,610.9005,0.83442716,false
240,620.04668,1.9043827,true
241,623.22786,0.25295961,false
242,622.85302,1.2130966,true
243,629.82307,0.22407634,false
244,635.83884,0.99701782,true
245,626.10537,0.56417106,false
246,623.07676,1.4807054,true
247,619.85599,0.54970727,false
248,620.67236,1.0500967,true
249,624.56611,0.53213503,false
250,623.20465,1.8134363,true
251,624.35736,0.19496072,false
253,640.53207,0.54264913,false
254,646.83757,1.0308541,true
255,635.66497,0.16743156,false
256,646.07733,1.1652158,true
257,639.82702,0.111474,false
258,639.34296,1.0319175,true
259,640.21748,0.11761581,false
260,637.76756,0.45777762,false
261,639.98388,1.4398698,true
262,637.76124,0.64403718,false
263,639.87998,0.94523469,true
264,636.4609,0.40998762,false
265,634.93275,0.97196864,true
266,636.35482,0.22980849,false
267,621.22279,0.54453632,true
268,634.71396,0.70271313,true
269,634.35365,0.7697742,false
270,627.73757,1.9763224,true
271,629.19259,0.50627917,false
272,629.58324,2.7066519,true
273,632.27513,0.64877176,false
274,639.35432,1.2929244,true
275,642.85917,0.29562112,false
276,653.98344,1.414482,true
277,647.57382,0.5731858,false
278,643.55092,1.0639057,true
279,643.15586,1.3675309,true
280,646.63571,0.32561495,false
281,648.84723,1.381316,true
282,646.94654,0.27308236,false
283,654.07101,1.4348198,true
284,645.06029,0.60444756,false
285,647.66383,1.3423672,true
286,635.99243,0.56517334,false
287,639.75323,1.0963232,true
288,636.99977,0.68927537,false
289,639.22187,1.2491268,true
290,634.35724,0.67155812,false
291,627.67439,1.7052709,true
292,638.9933,0.24327617,false
293,641.64596,1.5734471,true
294,638.85519,0.44868955,false
295,624.05333,1.5020336,true
296,642.20577,0.65858066,false
297,647.46091,1.4073084,true
298,658.81632,1.2246277,true
299,643.83725,1.3446525,true
300,647.2842,0.36776167,false
301,646.44528,1.3976991,true
302,639.51583,0.69104723,false
303,647.62465,1.1226691,true
304,641.3758,0.78454805,false
306,621.79359,0.51171622,true
315,603.2752,0.57453892,false
319,606.73853,0.42419464,false
320,609.36054,1.7073764,false
323,604.14398,2.0653325,false
325,592.358,0.053733841,false
326,597.49102,0.50497038,false
328,636.34078,2.7254946,false
329,644.25148,9.8807098,false
332,598.85845,1.276726,false
333,604.74292,0.62023964,false
335,587.91466,1.8982527,false
336,594.28023,3.7965994,false
337,592.72792,4.2827265,false
339,630.97228,0.73392564,false
340,626.34894,0.95442868,false
342,635.56812,0.2919868,false
343,660.90251,0.053867707,false
345,601.9496,0.52771314,false
347,597.34414,0.6115892,false
349,590.05902,0.15783277,false
351,635.58071,4.6675005,false
